Category,Cost
Evap,-10000
NC_GHWTP,-200
Demand,-500
Farmer_Demand,-1000
LL_IFR,-5000
LL_Felton,100
majors_pipeline,-8
laguna_pipeline,-8
liddell_pipeline,-8
Tait_Div_C,-100
TAITWELL,-50
BELTZ,0
FELTON_BUFFER,-5000
SLV,-1500
LL_SLR_Total,5
SMGWB_ASR_Extraction,5
SMGWB_ASR_Injection,95
MCGWB_ASR_Extraction,5
MCGWB_ASR_Injection,95
DESAL,-45
IPR,-45
DPR,-45
ghwtp_to_Soquel,98
Soquel_to_demand,55
ghwtp_to_Scotts_Valley,97
Scotts_Valley_to_demand,50
tait_to_ocean,0
TRANSFER,15
