Index,Stage(ft_NCDD),Stage(ft_NAVD88),Storage(ac-ft),Storage(Mgal),Area(ac)
1,596.31,600,12372.7939,4031.692608,202.4127706
2,596.21,599.9,12352.55911,4025.099072,202.2865004
3,596.11,599.8,12332.33557,4018.509204,202.1829638
4,596.01,599.7,12312.12324,4011.922986,202.0608945
5,595.91,599.6,12291.92264,4005.340592,201.9474737
6,595.81,599.5,12271.7337,3998.761998,201.8283696
7,595.71,599.4,12251.55653,3992.187238,201.7092655
8,595.61,599.3,12231.39161,3985.616471,201.5876903
9,595.51,599.2,12211.2388,3979.049648,201.4651267
10,595.41,599.1,12191.09808,3972.486764,201.3410805
11,595.31,599,12170.9696,3965.927872,201.2232119
12,595.21,598.9,12150.85311,3959.372885,201.1041078
13,595.11,598.8,12130.74885,3952.821883,200.9847565
14,595.01,598.7,12110.6564,3946.27473,200.8589806
15,594.91,598.6,12090.57639,3939.731629,200.7341931
16,594.81,598.5,12070.5088,3933.192575,200.6143476
17,594.71,598.4,12050.45314,3926.657409,200.4935138
18,594.61,598.3,12030.40992,3920.126299,200.3674908
19,594.51,598.2,12010.37935,3913.599307,200.2382554
20,594.41,598.1,11990.36145,3907.076448,200.116186
21,594.31,598,11970.3555,3900.557482,199.9958463
22,594.21,597.9,11950.36225,3894.042652,199.8685878
23,594.11,597.8,11930.38125,3887.531812,199.750225
24,594.01,597.7,11910.41242,3881.024941,199.6234606
25,593.91,597.6,11890.4556,3874.521982,199.5043565
26,593.81,597.5,11870.51122,3868.02308,199.3827813
27,593.71,597.4,11850.5793,3861.528232,199.2525575
28,593.61,597.3,11830.66007,3855.037523,199.132465
29,593.51,597.2,11810.75338,3848.5509,199.0052064
30,593.41,597.1,11790.859,3842.068287,198.8809131
31,593.31,597,11770.97725,3835.589793,198.7536545
32,593.21,596.9,11751.10813,3829.115412,198.628867
33,593.11,596.8,11731.25176,3822.645184,198.4993845
34,593.01,596.7,11711.40813,3816.179109,198.3758325
35,592.91,596.6,11691.57723,3809.717182,198.2436319
36,592.81,596.5,11671.75868,3803.259279,198.1213154
37,592.71,596.4,11651.95274,3796.805485,197.9881263
38,592.61,596.3,11632.16043,3790.356133,197.8564199
39,592.51,596.2,11612.38154,3783.911152,197.7192772
40,592.41,596.1,11592.61617,3777.47058,197.5917715
41,592.31,596,11572.86404,3771.034319,197.4509222
42,592.21,595.9,11553.1254,3764.602454,197.3135324
43,592.11,595.8,11533.4001,3758.174936,197.1862739
44,592.01,595.7,11513.6879,3751.751688,197.0592624
45,591.91,595.6,11493.9883,3745.332546,196.9282973
46,591.81,595.5,11474.30175,3738.917654,196.8007916
47,591.71,595.4,11454.62876,3732.507185,196.6579655
48,591.61,595.3,11434.96883,3726.100967,196.5396027
49,591.51,595.2,11415.32173,3719.698932,196.3970237
50,591.41,595.1,11395.68881,3713.301515,196.2625991
51,591.31,595,11376.06969,3706.908598,196.1190317
52,591.21,594.9,11356.46494,3700.520361,195.9781824
53,591.11,594.8,11336.87401,3694.136631,195.8412868
54,591.01,594.7,11317.29669,3687.757331,195.7053796
55,590.91,594.6,11297.73323,3681.382549,195.563789
56,590.81,594.5,11278.18359,3675.012272,195.4268934
57,590.71,594.4,11258.64774,3668.646487,195.2892564
58,590.61,594.3,11239.12585,3662.285252,195.1461832
59,590.51,594.2,11219.61806,3655.92861,195.0152181
60,590.41,594.1,11200.12363,3649.576321,194.8642376
61,590.31,594,11180.64424,3643.228936,194.7258593
62,590.21,593.9,11161.17861,3636.886032,194.5785853
63,590.11,593.8,11141.72848,3630.548179,194.4241453
64,590.01,593.7,11122.29332,3624.215205,194.2753887
65,589.91,593.6,11102.87238,3617.886862,194.1399757
66,589.81,593.5,11083.46586,3611.56322,193.9877597
67,589.71,593.4,11064.07397,3605.244344,193.8471575
68,589.61,593.3,11044.69722,3598.930404,193.6895052
69,589.51,593.2,11025.33506,3592.621217,193.5558219
70,589.41,593.1,11005.98635,3586.316411,193.4115132
71,589.31,593,10986.65201,3580.01629,193.2718994
72,589.21,592.9,10967.33174,3573.720753,193.123637
73,589.11,592.8,10948.02601,3567.429952,192.9825406
74,589.01,592.7,10928.73472,3561.143856,192.8394674
75,588.91,592.6,10909.45758,3554.862375,192.7005949
76,588.81,592.5,10890.19537,3548.585756,192.5483789
77,588.71,592.4,10870.94829,3542.314067,192.3951744
78,588.61,592.3,10851.71602,3536.047205,192.249383
79,588.51,592.2,10832.49896,3529.785298,192.0946959
80,588.41,592.1,10813.29636,3523.528103,191.9526111
81,588.31,592,10794.10901,3517.275876,191.7964414
82,588.21,591.9,10774.9368,3511.028584,191.6452138
83,588.11,591.8,10755.77972,3504.786221,191.4952216
84,588.01,591.7,10736.63751,3498.548705,191.3489361
85,587.91,591.6,10717.51057,3492.316166,191.1900482
86,587.81,591.5,10698.3992,3486.088697,191.0378321
87,587.71,591.4,10679.30315,3479.866224,190.8833921
88,587.61,591.3,10660.22212,3473.648643,190.7334
89,587.51,591.2,10641.15656,3467.436101,190.5762419
90,587.41,591.1,10622.10637,3461.22857,190.4225432
91,587.31,591,10603.07212,3455.026232,190.2562422
92,587.21,590.9,10584.05364,3448.829033,190.1074856
93,587.11,590.8,10565.05131,3442.637099,189.9364896
94,587.01,590.7,10546.06511,3436.450418,189.7803199
95,586.91,590.6,10527.09502,3430.268985,189.6159957
96,586.81,590.5,10508.14051,3424.092632,189.4660036
97,586.71,590.4,10489.20319,3417.92188,189.2806756
98,586.61,590.3,10470.28294,3411.756687,189.1215406
99,586.51,590.2,10451.37893,3405.59679,188.9547454
100,586.41,590.1,10432.49138,3399.442253,188.7877031
101,586.31,590,10413.62133,3393.293421,188.6137419
102,586.21,589.9,10394.7684,3387.150168,188.4481822
103,586.11,589.8,10375.93167,3381.012191,188.2850936
104,586.01,589.7,10357.11187,3374.879734,188.1180513
105,585.91,589.6,10338.30744,3368.752284,187.9670707
106,585.81,589.5,10319.52011,3362.630403,187.787179
107,585.71,589.4,10300.74935,3356.513926,187.6317506
108,585.61,589.3,10281.99518,3350.402852,187.4528473
109,585.51,589.2,10263.25816,3344.297368,187.2860521
110,585.41,589.1,10244.53795,3338.197359,187.1162916
111,585.31,589,10225.8346,3332.102847,186.9472725
112,585.21,588.9,10207.14808,3326.013816,186.7780063
113,585.11,588.8,10188.4791,3319.930504,186.5986088
114,585.01,588.7,10169.82838,3313.85314,186.4117981
115,584.91,588.6,10151.19558,3307.781614,186.2477211
116,584.81,588.5,10132.57969,3301.715601,186.064617
117,584.71,588.4,10113.98139,3295.655318,185.9020226
118,584.61,588.3,10095.40004,3289.600557,185.7204012
