GCM,1971-2000,2026-2055,2056-2085,delta_1,delta_2
ACCESS-CM2,14.048169461088056,16.419134541844112,18.577035673952,2.370965080756056,4.528866212863944
CNRM-ESM2-1,14.047692930147145,16.21777923830826,17.60008896233379,2.1700863081611157,3.5523960321866443
EC-Earth3,13.85511036548621,16.2396122422031,17.77665418463726,2.3845018767168913,3.921543819151049
EC-Earth3-Veg,14.258938892803174,16.23796521052354,17.920151377032127,1.9790263177203666,3.661212484228953
FGOALS-g3,14.020033518620497,15.720977619939399,16.88309914547076,1.7009441013189015,2.8630656268502612
GFDL-ESM4,13.973229563148827,15.544608065354874,16.862558290464293,1.5713785022060467,2.8893287273154655
INM-CM5-0,14.04473423192024,16.11380989310783,17.23337208372668,2.0690756611875916,3.188637851806442
IPSL-CM6A-LR,14.361528502055476,15.995133784559787,17.706370034709114,1.6336052825043108,3.3448415326536374
KACE-1-0-G,13.868938237255204,16.678010984707242,18.334671455749074,2.8090727474520385,4.46573321849387
MIROC6,13.936622091727418,15.979713368568326,17.273497603294256,2.043091276840908,3.336875511566838
MPI-ESM1-2-HR,14.13717973279854,15.59829096879518,16.78056916647629,1.4611112359966398,2.6433894336777506
MRI-ESM2-0,13.986840775991933,16.06182837382809,17.151616803109718,2.074987597836156,3.164776027117785
