GCM,1971-2000,2026-2055,2056-2085,pc_1,pc_2
ACCESS-CM2,1257.8325211325957,1208.9591479510682,1405.3077525656502,-3.885523101081873,11.724552271892497
AWI-CM-1-1-MR,401.17602674264793,382.43779310312414,449.9935680348654,-4.670825869548847,12.168608799631398
BCC-CSM2-MR,875.0930479854263,939.6835560933572,998.2592452951201,7.3809874568911615,14.074640130353881
CAMS-CSM1-0,942.1397374350526,909.192336914845,987.2483154877609,-3.497082143027518,4.787886155350493
CESM2,612.7161187768434,589.0086496255208,698.7740537834179,-3.869241958029352,14.045319254595555
CESM2-WACCM,589.4035647942474,579.6395418228974,717.6382426396594,-1.6565938101779967,21.75668514834603
CMCC-CM2-SR5,705.7003353052049,723.6615737253305,709.4172761865411,2.5451650681670186,0.5267024394608907
CMCC-ESM2,716.4753219440081,758.6220683887358,828.9456905305815,5.882511951754483,15.697730981355816
CNRM-CM6-1,920.8413186997813,829.2790553132158,894.3233543969495,-9.943326991001056,-2.879753955901417
CNRM-CM6-1-HR,1426.0404844828986,1365.3623389114655,1258.2268032740876,-4.255008622243696,-11.767806246374727
CNRM-ESM2-1,909.7275134610346,798.7811067237146,881.8612507744547,-12.195564616401155,-3.0631438836628644
CanESM5,557.7360202745593,530.1307670584273,537.869870971118,-4.949519524046999,-3.561926893956351
CanESM5-CanOE,490.7016392629192,518.1317454059624,472.5263666079616,5.589976463955958,-3.703935589507822
E3SM-1-1,925.442740768369,887.0045319117779,969.4933345647935,-4.153494015705063,4.759948061168049
EC-Earth3-CC,863.9452118490772,765.0884779549415,813.0693659681219,-11.442477200904378,-5.888781508733306
FGOALS-f3-L,687.0574590494653,799.2424272255608,808.3196305612054,16.328324028575715,17.649494946100244
FGOALS-g3,987.8178525679414,950.2791458167121,1102.9704270607363,-3.8001648435127238,11.657268006793265
FIO-ESM-2-0,817.304888774953,983.4674161701423,945.3088481028044,20.330543678045043,15.661714628884054
GFDL-ESM4,859.3500397602679,834.4050386682193,940.6152423408889,-2.902775346238132,9.456589145360542
HadGEM3-GC31-LL,1123.7732876039174,1205.8961042457033,1259.1635160430678,7.307774401444104,12.047824052467577
HadGEM3-GC31-MM,855.6094224810066,887.0242532606426,927.9197841678069,3.6716321669930334,8.451328349928907
IITM-ESM,644.9054987979264,628.6620633706839,614.4391334300105,-2.518731109832294,-4.724159652027113
INM-CM4-8,322.06094405825473,386.4192915512889,338.42771977906904,19.983282257718574,5.081887767755491
INM-CM5-0,587.4681805055963,576.1982762248197,572.6511258265164,-1.918385481078703,-2.522188464118652
IPSL-CM6A-LR,893.2570525599941,822.281695819872,792.3376639312536,-7.945681093332897,-11.297911204788662
MCM-UA-1-0,601.0997683742595,672.7175661102149,795.7432605900177,11.91446104357245,32.38122895009476
MIROC-ES2L,497.2425940850753,464.0158090889683,501.16137789374653,-6.68220811960894,0.7881030014899983
MIROC6,920.5388775310655,819.7863803581117,827.2927345138439,-10.944947533685633,-10.129517100604454
MPI-ESM1-2-LR,723.4868157912828,814.6068694792556,624.8305885820022,12.594570032117883,-13.636216314651092
MRI-ESM2-0,1272.427746744607,1200.6048026130122,1270.5326119320048,-5.6445597257170315,-0.14893850102300663
NESM3,758.9255130625451,660.6200363926234,643.1030362148725,-12.95324441962989,-15.261376097409878
NorESM2-MM,653.6152532370579,658.7091233676438,729.2287950211107,0.7793377075210902,11.56850936534505
TaiESM1,717.1873858911727,694.1949952027608,830.005483037262,-3.2059111943026832,15.730630427346723
UKESM1-0-LL,974.2539234395076,1101.0109805335835,1216.9411106922917,13.010679664144702,24.91005490601473
