GCM,1971-2000,2026-2055,2056-2085,delta_1,delta_2
ACCESS-CM2,13.631193712022567,15.36013454861111,17.431082492404514,1.728940836588544,3.7998887803819468
AWI-CM-1-1-MR,16.224659559461806,17.9204711066352,19.30571746826172,1.6958115471733954,3.081057908799913
BCC-CSM2-MR,13.488650427924261,15.304289160834418,17.093860880533853,1.8156387329101573,3.605210452609592
CAMS-CSM1-0,14.484379238552517,15.546722412109375,16.564114973280166,1.062343173556858,2.079735734727649
CESM2,14.936599561903213,16.531086052788627,17.922876654730903,1.594486490885414,2.98627709282769
CESM2-WACCM,14.822201453314886,16.64969974093967,18.233629269070097,1.8274982876247847,3.4114278157552107
CMCC-CM2-SR5,14.382080756293401,15.879902988009983,17.627667321099175,1.4978222317165812,3.245586564805773
CMCC-ESM2,14.329322560628254,15.573611111111111,17.54520780775282,1.2442885504828567,3.2158852471245662
CNRM-CM6-1,16.01637183295356,17.654092491997613,19.19325883653429,1.637720659044053,3.176887003580731
CNRM-CM6-1-HR,13.76039572821723,15.33238025241428,16.744058905707465,1.5719845241970507,2.983663177490236
CNRM-ESM2-1,16.445372772216796,18.038650682237414,19.134776730007598,1.5932779100206176,2.6894039577908018
CanESM5,13.647698889838324,16.4080810546875,19.122352345784506,2.760382164849176,5.474653455946182
CanESM5-CanOE,13.525396558973524,16.5913208855523,18.984537082248263,3.0659243265787754,5.459140523274739
E3SM-1-1,15.548429785834418,18.89057193332248,21.609738159179688,3.3421421474880617,6.06130837334527
EC-Earth3-CC,14.391976165771485,15.60370627509223,17.334329817030163,1.2117301093207455,2.942353651258678
FGOALS-f3-L,14.387755839029948,16.21513697306315,17.4123407151964,1.8273811340332013,3.024584876166452
FGOALS-g3,14.423729790581598,15.916288333468968,17.11732381184896,1.4925585428873696,2.6935940212673604
FIO-ESM-2-0,15.363069322374132,16.73573252360026,17.776034630669486,1.3726632012261266,2.4129653082953535
GFDL-ESM4,14.161981116400824,15.472378709581163,16.766416422526042,1.3103975931803387,2.604435306125218
HadGEM3-GC31-LL,13.937438964843748,16.43991902669271,18.425206841362847,2.5024800618489618,4.487767876519099
HadGEM3-GC31-MM,12.879293484157984,14.836907958984375,16.783118353949654,1.957614474826391,3.90382486979167
IITM-ESM,16.640304480658635,17.356974029541014,18.42084503173828,0.7166695488823791,1.7805405510796461
INM-CM4-8,15.70896462334527,17.422716522216795,18.687976837158203,1.713751898871525,2.9790122138129327
INM-CM5-0,15.944142405192057,17.856190490722657,18.945349205864797,1.9120480855306,3.0012068006727404
IPSL-CM6A-LR,15.8525021870931,17.11680391099718,18.65445505777995,1.2643017239040812,2.801952870686849
MCM-UA-1-0,15.28667984008789,16.988824123806424,18.251429833306204,1.7021442837185337,2.964749993218314
MIROC-ES2L,16.382682715521916,18.51685528225369,19.955189683702258,2.134172566731774,3.572506968180342
MIROC6,16.004133436414932,17.491880035400392,18.683320193820528,1.48774659898546,2.6791867574055956
MPI-ESM1-2-LR,14.75876727634006,16.302513207329646,17.420066494411895,1.5437459309895853,2.661299218071834
MRI-ESM2-0,16.174578772650825,18.02606489393446,19.218203904893663,1.851486121283635,3.0436251322428376
NESM3,15.451886325412326,17.549663798014322,19.223954603407115,2.0977774726019955,3.772068277994789
NorESM2-MM,14.05690197414822,15.483297475179036,16.718645985921224,1.4263955010308162,2.6617440117730045
TaiESM1,14.218231964111329,16.636860656738282,18.487350718180338,2.418628692626953,4.269118754069009
UKESM1-0-LL,13.410207112630207,16.355931939019097,19.142884657118053,2.94572482638889,5.732677544487846
